SMILES,M1_alpha_ve,M1_beta_ve,M2_ve,R_ve,ABC_ve,GA_ve,H_ve,X_ve,HM1_ve,HM2_ve,F_ve,F1_ve,ReZG3_ve,AG_ve,ISI_ve,T_ve,ID_ve,ZD_ve,mM1_ve,T_ev,M_ev,F_ev,mM_ev,ID_ev,R_ev,RR_ev,Tm
Clc1ccc(cc1)c1[nH0]c(sc1)C(=NNc1ccc(Cl)cc1Cl)C#N,77.26939335923021,125.59111302237793,75.1143337935349,48.94930212229191,19.022284909202753,53.566990780986224,48.526745415742155,35.99626593350779,304.7674543055304,122.77001517553859,154.53878671846053,100.09686442331771,189.8217643045039,54.44280429562133,30.92837009675689,62.795556511188956,49.381820560059055,51.22882886348901,48.228460028653984,81.13485432793543,248.45100713951226,773.9815532333438,3.187007713428466,9.172571096894792,15.694815185038003,46.68892308387779,519.15
O=C2Cc4ccc(OC)c(OC)c4CN(C)CCc1cc3OCOc3cc12,93.45452429468729,145.7360250999989,89.03400039013965,52.67228708835776,27.123985018771013,58.917733561426296,51.41454420409081,39.051875632861005,364.97704936965386,147.44724373070335,186.90904858937472,124.38973557606965,229.09601734788322,61.15507056090607,35.38994170937797,72.86801254999949,54.02649690372245,56.12113051654678,56.64914822520116,91.47095135372707,286.55172714114855,918.3536367921074,3.5813098334493274,10.164839129410106,17.385008495110075,52.190995908414045,433.65
OCC(C)c1ccccc1,19.370480254953144,38.044381140638514,18.343732680841548,22.29730224598236,3.2508507708002923,19.70011680241025,21.943466544854044,14.734404998371625,75.42842587158938,19.734482884192776,38.74096050990629,20.947513109559324,37.852901524171045,20.31038017831201,9.241158908459607,19.022190570319253,22.664010916803132,21.08448767272387,27.819104770846547,27.495892521337503,78.0312603113696,228.16952075682747,1.4630411331000976,3.7595491497175497,6.105603581511662,16.51481103804312,260.15
C1COCCN1C=O,20.186861456361232,33.39364095086892,17.236929997152647,16.948939546952587,4.05781165298606,15.528413266031102,16.516600633936825,11.389249203743267,74.84758290702774,22.939523097699904,40.373722912722464,28.232264697099776,40.69102820031375,16.49988344381508,7.780811153381892,16.696820475434457,17.405201253535644,16.450817473913443,21.031413463060446,21.40599434573618,58.46348609763999,162.842624716052,1.1892392728527548,3.0527673923991916,4.929019515801351,13.052246099778896,295.15
B(c1ccc(cc1C(F)(F)F)F)(O)O,50.453768912619324,69.7424213580592,42.90549701896075,25.231423980229994,10.620653559331101,26.89046930617177,24.228353385535414,18.24763606818741,186.71853186316022,85.94173195905535,100.90753782523862,82.87796495811133,122.43794971479998,29.227903245975014,16.062975328482928,34.871210679029616,26.333793462462328,26.62707049559116,28.779138861602505,44.68081557053158,146.90958287040684,498.5928349360806,1.4875000583479874,4.507844754362653,7.918508206965219,24.921398930821177,458.15
COc1c(cc(cc1Cl)CBr)F,29.95411265183527,51.504591553713645,28.004084582206044,24.473434420505594,7.84261538119406,23.3950902955195,23.698209581005496,16.732645751961066,115.91639446808264,38.667779806676556,59.90822530367055,36.77639888180702,65.7416381670081,24.646730028313012,12.357495098977607,25.75229577685682,25.30729033174008,24.190023033974427,31.698288045675923,35.13045762195607,107.00472512267473,336.6279942930294,1.624202901503693,4.297681274547713,7.135769918697074,20.42060625234477,311.15
O=C(C)c1ccc(C)cc1O,25.945288193071544,46.28946538745054,24.46167383691645,22.029195307106328,5.4704799982140155,21.654404133756167,21.662943233137977,15.368963737582158,100.81392405997602,30.93816943306993,51.89057638614311,30.83337590409828,55.03315672839941,22.355039442316798,11.225238000959251,23.144732693725263,22.405715699057353,22.00358229964034,24.575330062215027,32.78292647088278,100.01057927522538,312.22765212972695,1.325243735641513,3.7765690486586543,6.427218278377107,18.934627013553474,294.15
CCCCCOC(=O)c1c(cc(c(c1OC(=O)C(=O)Oc2c(c(cc(c2Cl)Cl)Cl)C(=O)OCCCCC)Cl)Cl)Cl,112.7307830245753,183.44344949728244,107.51955926638611,81.37989659686451,26.457508849576918,80.78417917404988,80.0549266722612,56.59813530655099,440.50068458192305,179.04660002210588,225.46156604915063,148.75723073626182,273.89900538718217,83.25923365342219,44.648249391736016,91.72172474864122,82.75194453583339,81.00064960586826,96.57454621039359,122.2541912900444,377.42620396500297,1202.9473205617915,5.1596854473297755,14.267490867749522,24.071997487894016,70.48083874724239,351.15
CCc1c[nH]c(=O)[nH]c1=O,29.047726739619517,45.78238959606811,26.176180406492904,19.353207861172468,8.119913674836688,19.443619484457525,18.76769482803192,13.55996904887506,110.44781429222483,40.06705057852265,58.09545347923903,40.01909004050881,65.59544104974181,20.577767932502283,10.843419796113851,22.89119479803405,19.963344542446322,19.605682450137095,23.70157716736325,29.886482670894956,91.76677188849823,287.9242253844136,1.251249436502229,3.462435215031503,5.856130408090847,17.2223770797033,582.15
O=S(=O)(CCl)c1ccccc1,29.25991522442898,48.275150127933756,27.039105742453422,21.9025309056473,7.399571989589326,21.543163962779893,21.424807376728253,15.223635520469683,112.59804193376479,41.10956962679732,58.51983044885798,38.555411023745656,66.49529382409214,22.476979183180934,11.584595557774144,24.137575063966878,22.404598473572122,21.88332237213709,25.72192136849804,33.03489162318663,103.93961144545622,341.5746752055548,1.4127941286266181,3.845582607496976,6.4639121222222915,18.948969841672042,327.15
