name,smiles,molecular_weight,melting_point_K,boiling_point_K,heat_of_fusion,heat_of_vaporization,critical_temperature,critical_pressure,flash_point,logP,M1,M2,HM,H,mm2,ReZG3,F,IS,A,R,RR,ABC,SC
mercaptoacetic acid,O=C(O)CS,92.11696,256.65,493.0,164150.01102945648,560150.8635401952,733.0,6100000.0,397.1143438,0.09,28.0,48.0,198.0,1.1547619047619047,0.35416666666666663,344.0,102.0,6.761904761904762,54.61096296296296,1.1809036597828997,0.35416666666666663,2.6104736656181475,1.5177306270755913
ethanamine,CCN,45.08368,192.05,289.75,136035.9225333868,606600.403,456.0,5600000.0,255.15,-0.13,8.0,8.0,32.0,1.0,0.5,32.0,16.0,2.0,16.0,1.0,0.5,1.4142135623730951,1.0
dibutylamine,CCCCNCCCC,129.24316,211.15,435.15,166933.39902862173,316946.1102067907,607.5,3110000.0,315.0,2.83,56.0,100.0,404.0,2.3714285714285714,0.75,740.0,204.0,13.828571428571427,119.49985185185184,2.393846850117352,0.75,5.154697753892079,3.0645696993914653
1-bromobutane,CCCCBr,137.01826,161.15,374.55,67363.28428050393,248113.8564687576,571.1,4629539.0,286.15,2.75,24.0,36.0,148.0,1.3714285714285714,0.5,228.0,76.0,5.828571428571428,43.647999999999996,1.393846850117352,0.5,2.7052080111089007,1.6503561370183704
dimethyl maleate,COC(=O)/C=C\C(=O)OC,144.12532,314.65,475.15,140405.5859164788,317116.98536379443,675.0,3220000.0,360.6088461,0.22,76.0,161.0,662.0,2.2111111111111112,0.6033333333333333,1446.0,340.0,18.36111111111111,185.4499646956997,2.2707181561808274,0.6033333333333333,5.559396857908085,3.1389533268314547
indene,C1=Cc2ccccc2C1,116.15982,271.25,455.65,87810.05342466956,325673.4676957654,695.15,3799688.0,331.15,2.92,106.0,285.0,1160.0,1.9484126984126986,0.3971938775510204,3214.0,590.0,26.055555555555557,351.84133564139944,1.9634077376398718,0.3971938775510204,5.611765943540429,3.1088485042182836
benzene,c1ccccc1,78.11184,278.65,353.2187801,126357.28463188167,393696.8119134687,562.02,4907277.0,262.15,2.13,48.0,96.0,384.0,1.5,0.375,768.0,192.0,12.0,113.77777777777776,1.5,0.375,3.6742346141747673,2.1213203435596424
bicyclo[2.2.1]hept-2-ene,C1=CC2CCC1C2,94.1543,318.65,368.84,98540.37468283444,326596.4945,590.0,4860000.0,258.15,3.24,88.0,242.0,972.0,1.460606060606061,0.26888888888888884,2684.0,488.0,21.909090909090907,302.49530439814816,1.4636300766735548,0.26888888888888884,4.376353633308599,2.4158511795343562
bromoethane,CCBr,108.9651,154.15,311.35,68554.05996966001,248287.1703769311,504.0,5800000.0,257.59444,1.6,8.0,8.0,32.0,1.0,0.5,32.0,16.0,2.0,16.0,1.0,0.5,1.4142135623730951,1.0
2-hydroxyethyl acrylate,C=CC(=O)OCCO,116.11522,247.5,464.15,136786.547,482273.0673856292,662.0,3980000.0,366.4063141,-0.21,54.0,106.0,436.0,1.9134920634920634,0.5816666666666666,892.0,224.0,13.067063492063491,122.61380844569972,1.9558893008990688,0.5816666666666666,4.441067700343836,2.5698741822498263
triethanolamine,OCCN(CCO)CCO,149.1882,293.15,623.15,178170.92772752806,423341.7243032428,772.0,2700000.0,452.15,-1.0,72.0,153.0,630.0,2.4954545454545456,0.7999999999999999,1440.0,324.0,17.406818181818178,181.98611111111114,2.5470640981382386,0.7999999999999999,5.661854612176169,3.3068349920129854
triacetin,CC(=O)OCC(COC(C)=O)OC(C)=O,218.20386,276.15,532.15,131299.23549473414,245036.34648737733,701.4,2333000.0,408.8371701,0.25,124.0,282.0,1142.0,3.289033189033189,0.8161111111111111,2696.0,578.0,30.584704184704187,338.35646064477385,3.315203586637545,0.8161111111111111,8.387411813620503,4.774834626522884
benzo[b]thiophene,c1ccc2sccc2c1,134.19824,304.65,494.05,89949.01871,324400.4817519719,764.0,4760000.0,363.6596707,3.12,106.0,285.0,1160.0,1.9484126984126986,0.3971938775510204,3214.0,590.0,26.055555555555557,351.8413356413994,1.9634077376398715,0.3971938775510204,5.611765943540429,3.1088485042182836
malononitrile,N#CCC#N,66.06138,305.15,492.15,98968.56529488182,712160.2525533327,715.0,4040000.0,385.15,-0.6,24.0,36.0,148.0,1.3714285714285714,0.5,228.0,76.0,5.828571428571428,43.647999999999996,1.393846850117352,0.5,2.7052080111089007,1.6503561370183704
p-benzoquinone,O=C1C=CC(=O)C=C1,108.09476,387.15,453.15,171146.13141284554,427808.9471522087,683.0,5960000.0,366.48333,0.2,76.0,180.0,728.0,1.7,0.3733333333333333,1740.0,368.0,18.75,214.35546875,1.7163977794943222,0.3733333333333333,4.65902361376278,2.6044733772875754
thiodiglycol,OCCSCCO,122.186,262.95,555.15,150770.1373316092,558574.8804,731.0,4610000.0,433.15,-0.63,40.0,68.0,276.0,1.8714285714285714,0.625,484.0,140.0,9.828571428571427,81.57392592592592,1.893846850117352,0.625,3.9299528825004892,2.357462918204918
4-methoxyphenol,COc1ccc(O)cc1,124.13722,329.15,526.15,120012.35407076136,413243.7892147091,761.0,4970000.0,398.0,1.58,86.0,207.0,842.0,1.9469696969696968,0.4599999999999999,2068.0,428.0,21.062878787878788,246.76938657407408,1.981024797242477,0.4599999999999999,5.275099397217133,2.9459632002968537
p-cymene,Cc1ccc(C(C)C)cc1,134.21816,205.15,450.15,71972.37691233437,283364.4111404072,652.0,2800000.0,320.15,4.1,100.0,250.0,1024.0,2.0500000000000003,0.4457142857142857,2620.0,524.0,24.375,297.5703125,2.081689222078593,0.4457142857142857,5.763675747372526,3.191596639631612
butyl benzoate,CCCCOC(=O)c1ccccc1,178.22766,251.15,522.15,127118.31597856358,272523.31670488924,725.0,2400000.0,379.15,3.84,120.0,286.0,1168.0,2.9936008436008437,0.7573412698412699,2916.0,596.0,29.372327672327675,344.13709782806654,3.028385316392683,0.7573412698412699,7.716688652908065,4.375383285502345
m-xylene,Cc1cccc(C)c1,106.165,225.35,412.2140026,109263.88169359016,340144.8532128036,616.89,3534600.0,298.15,3.2,76.0,180.0,732.0,1.708080808080808,0.37999999999999995,1760.0,372.0,18.648989898989896,213.0064606447738,1.7287597466643907,0.37999999999999995,4.674942985596083,2.6092516690424175
1-methyl-2-pyrrolidinone,CN1CCCC1=O,99.13106,249.15,477.35,62553.55284206585,435154.3708878906,721.8,4520000.0,359.15,-0.38,70.0,172.0,710.0,1.4191919191919191,0.3055555555555556,1776.0,366.0,16.898989898989896,201.3831352985639,1.4504331546277671,0.3055555555555556,4.052926477249632,2.2250311570836736
4-bromotoluene,Cc1ccc(Br)cc1,171.03448,301.4,457.15,74973.18669311592,236960.8802,699.0,4370000.0,339.1052916,3.42,76.0,180.0,728.0,1.7,0.3733333333333333,1740.0,368.0,18.75,214.35546875,1.7163977794943222,0.3733333333333333,4.65902361376278,2.6044733772875754
4-chlorotoluene,Cc1ccc(Cl)cc1,126.58348,280.65,434.95,92705.62004,292207.9090763883,615.9,2330000.0,322.15,3.33,76.0,180.0,728.0,1.7,0.3733333333333333,1740.0,368.0,18.75,214.35546875,1.7163977794943222,0.3733333333333333,4.65902361376278,2.6044733772875754
diphenylamine,c1ccc(Nc2ccccc2)cc1,169.22244,326.15,578.25,109323.56252515918,322458.74752633343,931.15,8140000.0,419.049567,3.44,136.0,336.0,1352.0,2.94949494949495,0.638888888888889,3416.0,680.0,33.79797979797979,410.6064606413994,2.958057267673471,0.638888888888889,8.060904439433148,4.530942543207108
furfuryl alcohol,OCc1ccco1,98.09994,250.35,441.15,133843.0991904786,500631.3266086581,632.0,5350000.0,334.15,0.28,64.0,148.0,604.0,1.5914141414141416,0.3958333333333333,1436.0,308.0,15.63232323232323,174.68426735773673,1.6200395029952739,0.3958333333333333,4.175490557702223,2.3477188028961686
trans-2-octene,C/C=C/CCCCC,112.21264,185.15,398.05,148628.53240062797,288167.67320404603,569.8,2580000.0,287.15,4.51,48.0,84.0,340.0,2.1214285714285714,0.6875,612.0,172.0,11.828571428571427,100.53688888888888,2.143846850117352,0.6875,4.542325318196284,2.7110163087981913
"2,2,4-trimethyl-1,3-pentanediol",CC(C)C(O)C(C)(C)CO,146.22732,324.9,503.25,69699.69770354815,386386.9989043211,697.9,2704000.0,382.65,1.24,96.0,251.0,1078.0,1.785014985014985,0.4178571428571428,2970.0,576.0,22.178221778221776,289.331532003579,1.8754895186626535,0.4178571428571428,5.259022663717015,2.8138294103836547
benzoyl peroxide,O=C(OOC(=O)c1ccccc1)c1ccccc1,242.2268,378.15,689.72,119045.45657210516,281233.12212983664,884.0,2570000.0,353.15,3.46,192.0,489.0,1998.0,3.8713286713286714,0.8296825396825398,5238.0,1020.0,46.97163947163946,590.5706175345075,3.915710187168056,0.8296825396825398,10.885893891644955,6.042864752149941
"trans-1,2-dichloroethylene",Cl/C=C/Cl,96.94328,223.35,320.79,98325.53633423585,285446.3955725622,515.5,5300000.0,245.3895707,1.93,16.0,21.0,86.0,1.1333333333333333,0.4444444444444444,114.0,44.0,3.9000000000000004,27.390625,1.1498299142610595,0.4444444444444444,2.080880229039762,1.3026754814637789
diphenyl oxide,c1ccc(Oc2ccccc2)cc1,170.2072,300.65,531.15,101170.80828543092,278523.5413080942,767.0,3100000.0,388.15,4.21,136.0,336.0,1352.0,2.94949494949495,0.638888888888889,3416.0,680.0,33.79797979797979,410.6064606413994,2.958057267673471,0.638888888888889,8.060904439433148,4.530942543207108
3-chlorophenol,Oc1cccc(Cl)c1,128.5563,305.95,483.15,115902.52675287017,379854.3280802334,729.0,5320000.0,370.15,2.5,76.0,180.0,732.0,1.708080808080808,0.37999999999999995,1760.0,372.0,18.648989898989896,213.0064606447738,1.7287597466643907,0.37999999999999995,4.674942985596083,2.6092516690424175
dimethyl disulfide,CSSC,94.19904,188.15,382.87,97559.38064761597,359683.4845,615.0,5100000.0,285.5280984,1.77,16.0,21.0,86.0,1.1333333333333333,0.4444444444444444,114.0,44.0,3.9000000000000004,27.390625,1.1498299142610595,0.4444444444444444,2.080880229039762,1.3026754814637789
1-ethylnaphthalene,CCc1cccc2ccccc12,156.22368,259.25,531.15,112063.67690224682,312233.8466,775.6,3100545.0,382.7270365,4.4,140.0,389.0,1596.0,2.5745532245532248,0.5696428571428571,4664.0,818.0,34.06126651126651,486.94796586822264,2.6194304958557564,0.5696428571428571,7.344453826855084,4.05641964035961
iodobenzene,Ic1ccccc1,204.00837,242.15,461.65,47792.15676297987,200311.1796891071,721.0,4519095.0,347.59,3.28,62.0,137.0,554.0,1.5944444444444446,0.37166666666666665,1236.0,280.0,15.319444444444443,161.23331249662562,1.605412485247119,0.37166666666666665,4.171787209943664,2.359782370480164
epichlorohydrin,ClCC1CO1,92.5242,216.05,391.05,149550.0636590211,363905.4746244414,610.0,4900077.0,301.15,0.45,41.0,84.0,343.0,1.25,0.33749999999999997,716.0,175.0,10.0,96.93380844401253,1.2743737838432105,0.33749999999999997,3.094303151812227,1.7618016810571366
isobutylamine,CC(C)CN,73.13683999999999,188.15,341.95,106512.66858125126,397985.1798,516.0,4255650.0,253.15,0.73,28.0,48.0,198.0,1.1547619047619047,0.35416666666666663,344.0,102.0,6.761904761904762,54.61096296296296,1.1809036597828997,0.35416666666666663,2.6104736656181475,1.5177306270755913
benzenethiol,Sc1ccccc1,110.17684,258.15,442.25,104196.1268811122,359162.16641765164,685.0,4600155.0,328.15,2.52,62.0,137.0,554.0,1.5944444444444446,0.37166666666666665,1236.0,280.0,15.319444444444443,161.23331249662562,1.605412485247119,0.37166666666666665,4.171787209943664,2.359782370480164
8-methylquinoline,Cc1cccc2cccnc12,143.18516,193.15,520.55,121974.93092161226,337136.04931045533,787.0,4300000.0,378.15,2.6,130.0,358.0,1468.0,2.306299256299256,0.4722222222222222,4212.0,752.0,31.688322788322786,444.0659794274633,2.3368474103839314,0.4722222222222222,6.72539791846762,3.70189190079953
"1,2-dibromo-3-chloropropane",ClCC(Br)CBr,236.3328,279.15,473.15,62496.61494299564,229359.07492987128,659.19036,5123977.2,349.81667,2.96,38.0,71.0,298.0,1.361111111111111,0.41666666666666663,576.0,156.0,8.98611111111111,78.27223032069972,1.4125192664336665,0.41666666666666663,3.2298850510266943,1.8367166381876665
benzaldehyde,O=Cc1ccccc1,106.12194,216.9,451.85,87823.49814,387108.8898499604,695.0,4700000.0,337.15,1.48,72.0,164.0,668.0,1.8414141414141416,0.4583333333333333,1564.0,340.0,17.63232323232323,193.6472303206997,1.8700395029952739,0.4583333333333333,4.787862993398018,2.701272193489442
cyclooctane,C1CCCCCCC1,112.21264,287.95,424.25,21477.08136979934,312713.9198943661,647.2,3560000.0,303.15,4.45,64.0,128.0,512.0,2.0,0.5,1024.0,256.0,16.0,151.70370370370367,2.0,0.5,4.898979485566357,2.82842712474619
methanol,CO,32.04186,175.15,337.6323833,100337.49601302797,1101081.237210215,513.38,8215850.0,282.15,-0.74,2.0,1.0,4.0,1.0,1.0,2.0,2.0,0.5,0.0,1.0,1.0,0.0,0.7071067811865475
"1,3,5-trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,181.44702,337.15,482.15,99753.63607514744,234244.4171028357,718.0,3720000.0,371.5698762,4.02,90.0,225.0,918.0,1.840909090909091,0.39999999999999997,2340.0,468.0,21.98863636363636,269.0972222222223,1.8700417842518153,0.39999999999999997,5.183701941132024,2.869728239246403
cycloheptane,C1CCCCCC1,98.18606,265.15,391.95,19147.320912968706,330695.70480230416,604.2,3820000.0,279.15,4.0,56.0,112.0,448.0,1.75,0.4375,896.0,224.0,14.0,132.7407407407407,1.75,0.4375,4.286607049870562,2.474873734152916
2-cyclohexen-1-one,O=C1C=CCCC1,96.12712,220.15,445.45,29044.87308056249,410581.0946605526,685.0,4530000.0,329.15,0.61,62.0,137.0,554.0,1.5944444444444446,0.37166666666666665,1236.0,280.0,15.319444444444443,161.23331249662562,1.605412485247119,0.37166666666666665,4.171787209943664,2.359782370480164
1-iodobutane,CCCCI,184.01873,170.15,403.15,57178.96216325371,175595.43419171148,621.0,4320000.0,304.15,3.0,24.0,36.0,148.0,1.3714285714285714,0.5,228.0,76.0,5.828571428571428,43.647999999999996,1.393846850117352,0.5,2.7052080111089007,1.6503561370183704
phenylacetonitrile,N#CCc1ccccc1,117.14788,249.15,505.15,102630.96523812469,392303.7532375092,745.0,4002338.0,374.15,1.56,80.0,183.0,742.0,2.13989898989899,0.5583333333333333,1756.0,376.0,19.701262626262626,219.30926735773676,2.1613833332161483,0.5583333333333333,5.390690813747234,3.0790744676797375
1-chloropropane,CCCCl,78.54068000000001,150.35,319.35,70536.69512410638,346551.7255,503.4,4570000.0,241.15,2.04,16.0,21.0,86.0,1.1333333333333333,0.4444444444444444,114.0,44.0,3.9000000000000004,27.390625,1.1498299142610595,0.4444444444444444,2.080880229039762,1.3026754814637789
cis-2-methylcyclohexanol,C[C@@H]1CCCC[C@@H]1O,114.18546,280.15,438.15,95283.58514297706,405503.4865473523,614.0,3790000.0,327.2949511,1.84,78.0,188.0,774.0,1.6691919191919191,0.3680555555555556,1904.0,398.0,18.898989898989896,220.34609826152683,1.7004331546277671,0.3680555555555556,4.665298912945426,2.578584547676947
2-methylnaphthalene,Cc1ccc2ccccc2c1,142.1971,306.85,514.25,85304.13067,325308.1278492503,761.0,3370000.0,370.15,4.0,128.0,347.0,1408.0,2.3229659229659227,0.47243197278911564,3930.0,714.0,31.5274864024864,431.6797095769328,2.342239716738519,0.47243197278911564,6.717342758252134,3.7183770682741315
benzotrifluoride,FC(F)(F)c1ccccc1,146.1098096,244.15,375.15,66751.16494026284,213822.0968342412,565.0,3390334.0,274.5546754,3.01,104.0,272.0,1124.0,1.994993894993895,0.42083333333333334,3048.0,580.0,25.226862026862026,325.7414507620275,2.020151364509997,0.42083333333333334,5.688820483750542,3.1444181840413825
valeronitrile,CCCCC#N,83.13166,177.15,413.15,108262.0027075124,454329.7748573556,610.3,3580000.0,307.15,0.94,32.0,52.0,212.0,1.6214285714285714,0.5625,356.0,108.0,7.828571428571429,62.61096296296296,1.643846850117352,0.5625,3.317580446804695,2.003909527611644
o-anisidine,COc1ccccc1N,123.15246,279.15,494.15,113054.98891374156,411517.4079745001,728.0,5846453.0,390.92778,1.18,88.0,217.0,898.0,1.934149184149184,0.464484126984127,2302.0,464.0,21.197940947940946,256.30103959501446,1.9813598697362118,0.464484126984127,5.287262804527603,2.930849602920092
1-chloropentane,CCCCCCl,106.59384,174.15,381.05,121048.27070682507,314620.48329619307,571.0,3300000.0,284.15,2.73,32.0,52.0,212.0,1.6214285714285714,0.5625,356.0,108.0,7.828571428571429,62.61096296296296,1.643846850117352,0.5625,3.317580446804695,2.003909527611644
1-chloronaphthalene,Clc1cccc2ccccc12,162.61558000000002,259.15,532.15,79328.19229252203,289774.2142808261,785.0,3400000.0,394.000859,3.9,130.0,358.0,1468.0,2.306299256299256,0.4722222222222222,4212.0,752.0,31.688322788322786,444.0659794274633,2.3368474103839314,0.4722222222222222,6.72539791846762,3.70189190079953
"1-chloro-2,4-dinitrobenzene",O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,202.55202,326.15,588.15,155406.99125093888,301061.61965376907,813.77,3490000.0,433.7014306,2.17,140.0,381.0,1576.0,2.5307803307803307,0.5431746031746031,4472.0,814.0,33.725441225441216,464.55508884082917,2.590226074675946,0.5431746031746031,7.372055382505363,4.031858955540734
thioanisole,CSc1ccccc1,124.20342,258.15,467.45,97074.62161669944,332128.3903845018,706.0,4100000.0,345.15,2.74,72.0,164.0,668.0,1.8414141414141416,0.4583333333333333,1564.0,340.0,17.63232323232323,193.6472303206997,1.8700395029952739,0.4583333333333333,4.787862993398018,2.701272193489442
p-terphenyl,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,230.30376,486.15,649.15,153275.83014710658,282123.3310747404,908.0,2990000.0,467.0255195,6.03,212.0,572.0,2324.0,3.9079365079365083,0.799387755102041,6464.0,1180.0,52.222222222222214,709.3492928173252,3.932388284279829,0.799387755102041,11.213215695131076,6.223925988323456
diphenyl oxide,c1ccc(Oc2ccccc2)cc1,170.2072,300.65,531.15,101170.80828543092,278523.5413080942,767.0,3100000.0,388.15,4.21,136.0,336.0,1352.0,2.94949494949495,0.638888888888889,3416.0,680.0,33.79797979797979,410.6064606413994,2.958057267673471,0.638888888888889,8.060904439433148,4.530942543207108
tetradecane,CCCCCCCCCCCCCC,198.388,279.05,526.65,227181.07950077625,241965.61693279195,693.0,1570000.0,380.6457317,7.2,96.0,180.0,724.0,3.6214285714285714,1.0625,1380.0,364.0,23.82857142857143,214.31466666666665,3.6438468501173524,1.0625,8.216559932371052,4.832336652357835
ethanol,CCO,46.06844,159.05,351.5704417,107036.40062480952,849611.6169365061,514.71,6268000.0,285.15,-0.3,8.0,8.0,32.0,1.0,0.5,32.0,16.0,2.0,16.0,1.0,0.5,1.4142135623730951,1.0
1-propanol,CCCO,60.09502,146.6,370.19,89358.48594442601,692309.7706679342,536.8,5169000.0,288.15,0.25,16.0,21.0,86.0,1.1333333333333333,0.4444444444444444,114.0,44.0,3.9000000000000004,27.390625,1.1498299142610595,0.4444444444444444,2.080880229039762,1.3026754814637789
isopropanol,CC(C)O,60.09502,183.65,355.36,90024.09850267127,664868.0172381938,508.3,4764000.0,285.15,0.05,18.0,27.0,108.0,1.0,0.3333333333333333,162.0,54.0,4.5,34.171875,1.0,0.3333333333333333,2.0,1.2247448713915892
1-butanol,CCCCO,74.1216,183.35,390.75,126413.8928463498,581987.8130906415,563.0,4414000.0,308.15,0.84,24.0,36.0,148.0,1.3714285714285714,0.5,228.0,76.0,5.828571428571428,43.647999999999996,1.393846850117352,0.5,2.7052080111089007,1.6503561370183704
2-methyl-1-propanol,CC(C)CO,74.1216,165.15,380.99,85265.29378750593,564050.4012463859,547.8,4295000.0,301.15,0.76,28.0,48.0,198.0,1.1547619047619047,0.35416666666666663,344.0,102.0,6.761904761904762,54.61096296296296,1.1809036597828997,0.35416666666666663,2.6104736656181475,1.5177306270755913
tert-butanol,CC(C)(C)O,74.1216,298.35,355.45,90392.00448991929,526739.2635423244,506.2,3972000.0,283.15,0.35,32.0,64.0,256.0,1.0,0.25,512.0,128.0,8.0,75.85185185185183,1.0,0.25,2.449489742783178,1.414213562373095
1-pentanol,CCCCCO,88.14818,194.7,410.75,119117.60401632795,497880.9278113591,588.1,3897000.0,315.15,1.51,32.0,52.0,212.0,1.6214285714285714,0.5625,356.0,108.0,7.828571428571429,62.61096296296296,1.643846850117352,0.5625,3.317580446804695,2.003909527611644
1-hexanol,CCCCCCO,102.17476,226.0,430.05,150526.4118065949,444712.97259548417,610.3,3417000.0,333.15,2.03,40.0,68.0,276.0,1.8714285714285714,0.625,484.0,140.0,9.828571428571427,81.57392592592592,1.893846850117352,0.625,3.9299528825004892,2.357462918204918
